shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
5__10____1__IT_1,40.5785804071987,-3.96120826153836,2000047,165.640094246615
5__10____1__IT_1,40.5781507323832,-3.96094313095705,2000048,168.896345562729
5__10____1__IT_1,40.5775080494377,-3.96047199017332,2000049,172.234330230412
5__10____1__IT_1,40.5771450846611,-3.96011954595764,2000050,175.622449376924
5__10____1__IT_1,40.576912428929,-3.9599091080125,2000051,179.04194240388
5__10____1__IT_1,40.576620315535,-3.95962014039624,2000052,182.502053304759
5__10____1__IT_1,40.5762149125203,-3.95916605107099,2000053,186.021347747993
5__10____1__IT_1,40.575772271981,-3.95861785142655,2000054,189.608226881639
5__10____1__IT_1,40.5745960423768,-3.95697929488612,2000055,193.385595915801
5__10____1__IT_1,40.5740623236164,-3.95626988263777,2000056,197.247323229918
5__10____1__IT_1,40.5740623236164,-3.95626988263777,3000001,197.247323229918
5__10____1__IT_1,40.5737911699748,-3.95588506924033,3000002,197.291675168126
5__10____1__IT_1,40.5725987691953,-3.95430232317753,3000003,197.524365402859
5__10____1__IT_1,40.5723812645867,-3.95400512891612,3000004,197.791925135411
5__10____1__IT_1,40.5722841185025,-3.95385793367749,3000005,198.075963670969
5__10____1__IT_1,40.5720631372611,-3.95356749425625,3000006,198.394733042434
5__10____1__IT_1,40.5714000810347,-3.95253055924814,3000007,198.828056403514
5__10____1__IT_1,40.5710014676596,-3.95183101669917,3000008,199.335303511475
5__10____1__IT_1,40.5706872066279,-3.95126134821314,3000009,199.902069726333
5__10____1__IT_1,40.5701330020869,-3.95005633923198,3000010,200.587958936505
5__10____1__IT_1,40.5695432797296,-3.94852476793421,3000011,201.419090042218
5__10____1__IT_1,40.5693641427578,-3.94796752818404,3000012,202.301413513895
5__10____1__IT_1,40.5692239495996,-3.94753143462793,3000013,203.223800055607
5__10____1__IT_1,40.5691130507259,-3.94710044706225,3000014,204.184692223872
5__10____1__IT_1,40.5688987199987,-3.94626750199894,3000015,205.220002271541
5__10____1__IT_1,40.5687076710198,-3.94533744060373,3000016,206.33685207054
5__10____1__IT_1,40.5686268535053,-3.94467476051655,3000017,207.510513291812
5__10____1__IT_1,40.5685020788702,-3.94366583987665,3000018,208.770699737069
5__10____1__IT_1,40.5684255281696,-3.94302710923334,3000019,210.085621172568
5__10____1__IT_1,40.5682972130148,-3.94137448490485,3000020,211.541167829583
5__10____1__IT_1,40.5679512619192,-3.93589528403431,3000021,213.462141519481
