id,latitude,longitude,name,display_name,zone,total_lines,rail,borough,comments,borough code
221,51.5606,-0.4103,Ruislip Gardens,Ruislip Gardens,5,1,0,Hillingdon,,
222,51.5732,-0.4125,Ruislip Manor,Ruislip Manor,6,2,0,Hillingdon,,
239,51.5569,-0.3988,South Ruislip,South Ruislip,5,1,1,Hillingdon,,
271,51.5463,-0.4786,Uxbridge,NULL,6,2,0,Hillingdon,,
294,51.5696,-0.4376,West Ruislip,West Ruislip,6,1,1,Hillingdon,,
308,51.47006,-0.49108,Heathrow Terminal 5,Heathrow Terminal 5,6,1,1,Hillingdon,,
75,51.5765,-0.397,Eastcote,NULL,5,2,0,Hillingdon,,
125,51.5538,-0.4499,Hillingdon,NULL,6,2,0,Hillingdon,,
108,51.4915,-0.2754,Gunnersbury,NULL,3,1,0,Hounslow,,
130,51.4713,-0.3665,Hounslow Central,Hounslow Central,4,1,0,Hounslow,,
131,51.4733,-0.3564,Hounslow East,Hounslow East,4,1,0,Hounslow,,
132,51.4734,-0.3855,Hounslow West,Hounslow West,5,1,0,Hounslow,,
190,51.4813,-0.3522,Osterley,NULL,4,1,0,Hounslow,,
242,51.495,-0.2459,Stamford Brook,Stamford Brook,2,1,0,Hounslow,,
265,51.4951,-0.2547,Turnham Green,Turnham Green,2.5,2,0,Hounslow,,
7,51.5322,-0.1058,Angel,NULL,1,1,0,Islington,,
8,51.5653,-0.1353,Archway,NULL,2.5,1,0,Islington,,
10,51.5586,-0.1059,Arsenal,NULL,2,1,0,Islington,,
39,51.5481,-0.1188,Caledonian Road,Caledonian Road,2,1,0,Islington,,
92,51.5203,-0.1053,Farringdon,NULL,1,3,1,Islington,,
95,51.5642,-0.1065,Finsbury Park,Finsbury Park,2,1,1,Islington,,
123,51.546,-0.104,Highbury & Islington,Highbury & Islington,2,1,1,Islington,,
128,51.5526,-0.1132,Holloway Road,Holloway Road,2,1,0,Islington,,
188,51.5263,-0.0873,Old Street,Old Street,1,1,1,Islington,,
35,51.4627,-0.1145,Brixton,NULL,2,1,1,Lambeth,,
54,51.4618,-0.1384,Clapham Common,Clapham Common,2,1,0,Lambeth,,
55,51.4649,-0.1299,Clapham North,Clapham North,2,1,0,Lambeth,,
56,51.4527,-0.148,Clapham South,Clapham South,2.5,1,0,Lambeth,,
148,51.4991,-0.1115,Lambeth North,Lambeth North,1,1,0,Lambeth,,
191,51.4819,-0.113,Oval,NULL,2,1,0,Lambeth,,
245,51.4723,-0.123,Stockwell,NULL,2,2,0,Lambeth,,
272,51.4861,-0.1253,Vauxhall,NULL,1.5,1,1,Lambeth,,
279,51.5036,-0.1143,Waterloo,NULL,1,4,1,Lambeth,,
69,51.474,-0.0216,Deptford Bridge,Deptford Bridge,2.5,1,0,Lewisham,,
152,51.4657,-0.0142,Lewisham,NULL,2.5,1,1,Lewisham,,
174,51.4767,-0.0327,New Cross,New Cross,2,1,1,Lewisham,,
175,51.4757,-0.0402,New Cross Gate,New Cross Gate,2,1,1,Lewisham,,
59,51.418,-0.1778,Colliers Wood,Colliers Wood,3,1,0,Merton,,
169,51.4022,-0.1948,Morden,NULL,4,1,0,Merton,,
240,51.4154,-0.1919,South Wimbledon,South Wimbledon,3.5,1,0,Merton,,
299,51.4214,-0.2064,Wimbledon,NULL,3,1,1,Merton,,
300,51.4343,-0.1992,Wimbledon Park,Wimbledon Park,3,1,0,Merton,,
19,51.5148,0.0613,Beckton,NULL,3,1,0,Newham,,
20,51.5087,0.055,Beckton Park,Beckton Park,3,1,0,Newham,,
43,51.5147,0.0082,Canning Town,Canning Town,2.5,2,1,Newham,,
63,51.5095,0.0276,Custom House,Custom House,3,1,0,Newham,,
65,51.5085,0.064,Cyprus,NULL,3,1,0,Newham,,
78,51.5394,0.0518,East Ham,East Ham,3.5,2,0,Newham,,
97,51.5096,0.0716,Gallions Reach,Gallions Reach,3,1,0,Newham,,
200,51.5313,0.0172,Plaistow,NULL,3,2,0,Newham,,
203,51.5093,0.0336,Prince Regent,Prince Regent,3,1,0,Newham,,
204,51.5343,-0.0139,Pudding Mill Lane,Pudding Mill Lane,2.5,1,0,Newham,,
217,51.5084,0.0465,Royal Albert,Royal Albert,3,1,0,Newham,,
219,51.5091,0.0181,Royal Victoria,Royal Victoria,3,1,0,Newham,,
247,51.5416,-0.0042,Stratford,NULL,2.5,3,1,Newham,,
270,51.5352,0.0343,Upton Park,Upton Park,3,2,0,Newham,,
289,51.5287,0.0056,West Ham,West Ham,2.5,3,1,Newham,,
304,51.5027,0.0226,West Silvertown,West Silvertown,3,1,0,Newham,,
305,51.5021,0.0319,Pontoon Dock,Pontoon Dock,3,1,0,Newham,,
306,51.5037,0.0488,London City Airport,London City Airport,3,1,0,Newham,,
307,51.502,0.0627,King George V,King George V,3,1,0,Newham,,
16,51.5856,0.0887,Barkingside,NULL,4,1,0,Redbridge,,
91,51.596,0.0912,Fairlop,NULL,4,1,0,Redbridge,,
98,51.5765,0.0663,Gants Hill,Gants Hill,4,1,0,Redbridge,,
103,51.6132,0.0923,Grange Hill,Grange Hill,4,1,0,Redbridge,,
109,51.603,0.0933,Hainault,NULL,4,1,0,Redbridge,,
173,51.5756,0.0899,Newbury Park,Newbury Park,4,1,0,Redbridge,,
211,51.5763,0.0454,Redbridge,NULL,4,1,0,Redbridge,,
215,51.6171,0.0439,Roding Valley,Roding Valley,4,1,0,Redbridge,,
230,51.5808,0.0216,Snaresbrook,NULL,4,1,0,Redbridge,,
241,51.5917,0.0275,South Woodford,South Woodford,4,1,0,Redbridge,,
275,51.5775,0.0288,Wanstead,NULL,4,1,0,Redbridge,,
301,51.607,0.0341,Woodford,NULL,4,1,0,Redbridge,,
141,51.477,-0.285,Kew Gardens,Kew Gardens,3.5,1,0,Richmond upon Thames,,
213,51.4633,-0.3013,Richmond,NULL,4,1,1,Richmond upon Thames,,
64,51.4827,-0.0096,Cutty Sark,Cutty Sark,2.5,1,0,Greenwich,,
86,51.4693,-0.0174,Elverson Road,Elverson Road,2.5,1,0,Greenwich,,
106,51.4781,-0.0149,Greenwich,NULL,2.5,1,1,Greenwich,,
183,51.5005,0.0039,North Greenwich,North Greenwich,2.5,1,0,Greenwich,,
74,51.492,-0.1973,Earl's Court,Earl's Court,1.5,2,0,Kensington and Chelsea,,
99,51.4945,-0.1829,Gloucester Road,Gloucester Road,1,3,0,Kensington and Chelsea,,
122,51.5009,-0.1925,High Street Kensington,High Street Kensington,1,2,0,Kensington and Chelsea,,
127,51.5075,-0.206,Holland Park,Holland Park,2,1,0,Kensington and Chelsea,,
138,51.4983,-0.2106,Kensington (Olympia),Kensington (Olympia),2,1,1,Kensington and Chelsea,,
146,51.5015,-0.1607,Knightsbridge,NULL,1,1,0,Kensington and Chelsea,,
147,51.5172,-0.2107,Ladbroke Grove,Ladbroke Grove,2,1,0,Kensington and Chelsea,,
150,51.5139,-0.2172,Latimer Road,Latimer Road,2,1,0,Kensington and Chelsea,,
186,51.5094,-0.1967,Notting Hill Gate,Notting Hill Gate,1.5,3,0,Kensington and Chelsea,,
236,51.4941,-0.1738,South Kensington,South Kensington,1,3,0,Kensington and Chelsea,,
287,51.4872,-0.1953,West Brompton,West Brompton,2,1,1,Kensington and Chelsea,,
29,51.5011,-0.0943,Borough,NULL,1,1,0,Southwark,,
41,51.4982,-0.0502,Canada Water,Canada Water,2,2,0,Southwark,,
84,51.4943,-0.1001,Elephant & Castle,Elephant & Castle,1.5,2,1,Southwark,,
136,51.4884,-0.1053,Kennington,NULL,2,1,0,Southwark,,
157,51.5052,-0.0864,London Bridge,London Bridge,1,2,1,Southwark,,
216,51.501,-0.0525,Rotherhithe,NULL,2,1,0,Southwark,,
233,51.504,-0.1052,Southwark,NULL,1,1,0,Southwark,,
253,51.4933,-0.0478,Surrey Quays,Surrey Quays,2,1,0,Southwark,,
3,51.5154,-0.0726,Aldgate East,Aldgate East,1,2,0,Tower Hamlets,,
4,51.5107,-0.013,All Saints,All Saints,2,1,0,Tower Hamlets,,
24,51.527,-0.0549,Bethnal Green,Bethnal Green,2,1,0,Tower Hamlets,,
27,51.5079,-0.0066,Blackwall,NULL,2,1,0,Tower Hamlets,,
32,51.5273,-0.0208,Bow Church,Bow Church,2,1,0,Tower Hamlets,,
33,51.5269,-0.0247,Bow Road,Bow Road,2,2,0,Tower Hamlets,,
36,51.5248,-0.0119,Bromley-By-Bow,NULL,2.5,2,0,Tower Hamlets,,
42,51.5051,-0.0209,Canary Wharf,Canary Wharf,2,2,0,Tower Hamlets,,
